"COD_LOJA","NOME_LOJA","PERIODO","COD_PRODUTO","NOME_PRODUTO","Qtd Ano Ant","Valor Ano Ant","Qtd Atual","Valor Atual","Variacao (%)"
C18489,SUPER MUFFATO FINAL 18,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,30.00,1944.00,45.00,2916.00,50.00
C18489,SUPER MUFFATO FINAL 18,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,5.00,237.00,24.00,1137.60,380.00
C18491,SUPER MUFFATO FINAL-59,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,20.00,1296.00,6.00,388.80,-70.00
C18491,SUPER MUFFATO FINAL-59,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,8.00,379.20,2.00,94.80,-75.00
C18492,SUPER MUFFATO FINAL 00,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,15.00,972.00,35.00,2268.00,133.33
C18492,SUPER MUFFATO FINAL 00,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,5.00,237.00,0.00,0.00,-100.00
C18493,SUPER MUFFATO FINAL 91,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,10.00,648.00,6.00,388.80,-40.00
C18493,SUPER MUFFATO FINAL 91,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,3.00,142.20,4.00,189.60,33.33
C18494,SUPER MUFFATO FINAL-02,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,20.00,1296.00,0.00,0.00,-100.00
C18494,SUPER MUFFATO FINAL-02,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,3.00,142.20,0.00,0.00,-100.00
C18530,SUPER MUFFATO FINAL-63,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,3.00,194.40,0.00,0.00,-100.00
C18530,SUPER MUFFATO FINAL-63,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,2.00,94.80,0.00,0.00,-100.00
C18536,SUPER MUFFATO FINAL 10,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,15.00,972.00,50.00,3240.00,233.33
C18536,SUPER MUFFATO FINAL 10,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,7.00,331.80,29.00,1374.60,314.29
C18550,SUPER MUFFATO FINAL 87,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,20.00,1296.00,82.00,6879.59,430.83
C18550,SUPER MUFFATO FINAL 87,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,5.00,237.00,63.00,3594.50,1416.67
C18554,SUPER MUFFATO FINAL -60 ,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,5.00,324.00,-9.00,1252.80,286.67
C18554,SUPER MUFFATO FINAL -60 ,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,5.00,237.00,-4.00,635.96,168.34
C18561,SUPER MUFFATO FINAL 88,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,5.00,324.00,40.00,2592.00,700.00
C18561,SUPER MUFFATO FINAL 88,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,5.00,237.00,25.00,1185.00,400.00
C18562,SUPER MUFFATO FINAL 49,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,5.00,324.00,9.00,583.20,80.00
C18562,SUPER MUFFATO FINAL 49,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,5.00,237.00,7.00,331.80,40.00
C18563,SUPER MUFFATO FINAL 74,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,5.00,324.00,21.00,1360.80,320.00
C18563,SUPER MUFFATO FINAL 74,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,5.00,237.00,11.00,521.40,120.00
C18564,SUPER MUFFATO FINAL 83,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,5.00,324.00,27.00,1749.60,440.00
C18564,SUPER MUFFATO FINAL 83,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,5.00,237.00,15.00,711.00,200.00
C18568,SUPER MUFFATO FINAL 21,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,15.00,972.00,20.00,1296.00,33.33
C18568,SUPER MUFFATO FINAL 21,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,3.00,142.20,25.00,1185.00,733.33
C18569,SUPER MUFFATO FINAL 87,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,30.00,1944.00,35.00,2268.00,16.67
C18569,SUPER MUFFATO FINAL 87,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,5.00,237.00,18.00,853.20,260.00
C18570,SUPER MUFFATO FINAL 36,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,15.00,972.00,5.00,324.00,-66.67
C18570,SUPER MUFFATO FINAL 36,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,3.00,142.20,0.00,0.00,-100.00
C18571,SUPER MUFFATO FINAL 16,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,20.00,1296.00,25.00,1620.00,25.00
C18571,SUPER MUFFATO FINAL 16,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,2.00,94.80,12.00,568.80,500.00
C18572,SUPER MUFFATO FINAL 14,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,30.00,1944.00,25.00,1620.00,-16.67
C18572,SUPER MUFFATO FINAL 14,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,5.00,237.00,12.00,568.80,140.00
C18573,SUPER MUFFATO FINAL 56,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,20.00,1296.00,5.00,324.00,-75.00
